type,space,price,area_price,address,metro,subtitle,date,source
2-к. квартира,67,25 500 000₽,,"Апраксин пер., 7Б","Сенная площадь ,6–10 мин.",,28 мая 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_678_m_34_et._7389134040?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,72,17 300 000₽,,"Кондратьевский пр-т, 62к1","Площадь Мужества ,от 31 мин.",,23 июля 2015,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_723_m_1617_et._611961953?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
5-к. квартира,143,95 000 000₽,,"Петровский пр-т, 9к2","Крестовский остров ,16–20 мин.",,27 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_1433_m_19_et._7800188000?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,34,9 600 000₽,,"пр-т Художников, 13к4","Озерки ,16–20 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_345_m_116_et._7944929375?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,25,10 455 000₽,,"Литейный пр-т, 7","Чернышевская ,6–10 мин.",,17 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_253_m_25_et._7784031199?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,45,10 750 000₽,,"Суздальское ш., 18к2","Проспект Просвещения ,от 31 мин.",,31 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_457_m_524_et._7769651415?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,57,14 590 000₽,,"Лиговский пр-т, 130","Обводный канал ,до 5 мин.",,20 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_579_m_27_et._7599073303?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,27 м²,7 655 000₽,,"пр-т Маршала Блюхера, 7к3","Выборгская ,16–20 мин.",,3 октября 2024,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27_m_1016_et._4657746738?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,46,13 000 000₽,,"ул. Воскова, 18/10","Горьковская ,6–10 мин.",,17 марта 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_468_m_24_et._7256879013?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,32,13 200 000₽,,"Парфёновская ул., 11к1","Фрунзенская ,11–15 мин.",,30 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_322_m_910_et._7652647978?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,93,23 500 000₽,,"Туристская ул., 13к1","Беговая ,16–20 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_933_m_1718_et._7945171028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,96 м²,79 000 000₽,,"Петровский пр-т, 11к3","Крестовский остров ,16–20 мин.",,13 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_96_m_49_et._7744356118?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,60 м²,22 290 000₽,,"Комендантский пр-т, 58к1","Комендантский проспект ,от 31 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60_m_723_et._7944951990?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,67,18 144 000₽,,"Серебристый б-р, 18к1","Пионерская ,11–15 мин.",,19 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_672_m_36_et._7771402032?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,100,41 800 000₽,,"Измайловский б-р, 9","Балтийская ,11–15 мин.",,20 января 21:26,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1005_m_1618_et._7897080491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,86,27 500 000₽,,"Петергофское ш., 45",,,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_864_m_34_et._7860681198?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,125 м²,78 400 000₽,,"Петровский пр-т, 24к2","Крестовский остров ,16–20 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_125_m_68_et._7914140852?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,23 м²,4 080 225₽,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_23_m_210_et._7758290879?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,21,8 700 000₽,,"наб. реки Фонтанки, 87","Спасская ,до 5 мин.",,9 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_211_m_25_et._7876950762?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Апартаменты-студия,23,11 463 967₽,,,,,,https://www.avito.ru/sankt-peterburg_sestroretsk/kvartiry/apartamenty-studiya_236_m_35_et._4156365195?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,33,6 300 000₽,,"ул. Софьи Ковалевской, 11к6","Академическая ,16–20 мин.",,12 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335_m_59_et._7990972409?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,60,33 579 350₽,,"ул. Новгородская, д. 8","Площадь А. Невского I ,16–20 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_603_m_210_et._4078631176?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,59,33 660 213₽,,"ул. Новгородская, д. 8","Площадь А. Невского I ,16–20 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_592_m_410_et._4078933554?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,66 м²,18 800 000₽,,"ул. Маршала Захарова, д. 10",,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_66_m_220_et._7266033221?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,38 м²,9 500 000₽,,,,,11 января 2024,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_38_m_45_et._3663284360?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,23 м²,16 600 228₽,,"ул. Новгородская, д. 8","Площадь А. Невского I ,16–20 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_23_m_810_et._4078963265?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,31 м²,9 250 000₽,,"Арцеуловская аллея, 21",,,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31_m_825_et._7961397477?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. апартаменты,45,8 160 873₽,,,"Улица Дыбенко ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_458_m_211_et._2488599539?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
7-к. квартира,191 м²,29 999 005₽,,"Большой пр-т Петроградской стороны, 4","Спортивная ,6–10 мин.",,6 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/7-k._kvartira_191_m_56_et._7961156425?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
3-к. квартира,84,29 935 740₽,,,"Приморская ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_849_m_1314_et._7406863009?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,24,6 002 400₽,,"ул. Ивана Фомина, 8","Проспект Просвещения ,11–15 мин.",,11 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_29_et._7670489363?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,63,13 122 000₽,,,"Обухово ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_633_m_724_et._7869117318?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,24,8 990 000₽,,"ул. Александра Матросова, 20к2","Лесная ,до 5 мин.",,4 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_248_m_617_et._7797355442?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
2-к. квартира,56,11 721 490₽,,,"Академическая ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_565_m_1721_et._7406815355?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Апартаменты-студия,22 м²,3 700 000₽,,"ул. Куйбышева, 36","Горьковская ,11–15 мин.",,15 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_22_m_36_et._7877260378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,30,9 650 000₽,,"ул. Руднева, д. 15, лит. Д","Проспект Просвещения ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_308_m_213_et._7687550824?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
Квартира-студия,23 м²,16 386 142₽,,"ул. Новгородская, д. 8","Площадь А. Невского I ,16–20 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_23_m_710_et._4078910320?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTb0h0ajhSeFlyYzF6TUsyIjt9DrBxrD8AAAA
1-к. квартира,42,11 600 000₽,,"Кондратьевский пр-т, 62к2","Площадь Мужества ,от 31 мин.",,17 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_428_m_416_et._7706222798?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
3-к. квартира,78,16 299 000₽,,"пр-т Испытателей, 28к4","Комендантский проспект ,6–10 мин.",,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_785_m_1212_et._7852093690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
2-к. квартира,55,17 195 288₽,,"ул. Партизанская, д. 3, лит. а","Ладожская ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_555_m_312_et._7406979863?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
3-к. квартира,93,23 500 000₽,,"Туристская ул., 13к1","Беговая ,16–20 мин.",,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_933_m_1718_et._7945171028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
Квартира-студия,23,4 239 066₽,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_238_m_1521_et._7406841046?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
1-к. квартира,32,8 900 000₽,,"ул. Генерала Кравченко, 5к2",,,6 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_326_m_28_et._7559865557?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
2-к. квартира,54,19 279 260₽,,,"Волковская ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_546_m_512_et._7941913349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
Квартира-студия,16 м²,3 990 000₽,,"Садовая ул., 105","Балтийская ,21–30 мин.",,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_16_m_34_et._7903708080?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
1-к. апартаменты,48 м²,15 000 000₽,,"Серебристый б-р, 18к1","Пионерская ,11–15 мин.",,24 января 2024,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_48_m_26_et._3644499619?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
2-к. квартира,51,9 900 000₽,,"Комендантский пр-т, 21к2","Комендантский проспект ,6–10 мин.",,30 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_516_m_212_et._7689757074?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
3-к. квартира,64,13 750 000₽,,"пос. Стрельна, Санкт-Петербургское ш., 69",,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_642_m_12_et._7910871494?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjVGFzNEQxTEFqWTNxeko5Ijt9PSVgij8AAAA
